customer_ID;Phone;num_rented;customer_name;order_date;return_date;status;bill
455403356;0550895763;1;Shree;04/10/20;08/10/23;returned;912108
455147356;0510895764;1;Surya;05/01/23;05/01/23;returned;915108
474403356;0552595765;1;Priya;04/10/23;;renting;235846
154033564;0553295766;2;Ramya;07/10/19;07/10/23;returned;201578
475403356;0543895767;1;Kavya;08/10/99;08/10/99;returned;236541
415403356;0500895768;1;Naya;09/10/21;09/10/21;returned;236698
455403376;0500825769;1;Asam;10/08/23;10/08/23;returned;100034
455403856;0551245770;2;Hamdi;11/03/23;11/03/23;returned;325876
355403356;0550895441;1;Amer;01/10/23;07/10/23;returned;946528
499403356;0550895789;1;Dev;04/10/23;;renting;376425
